City,Name,Michelin_Award,Main_Menu,Google_Category,Avg_Price_EUR,Maps_Url
Barcelona,Al Kostat,,,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Al%20Kostat%2C%20Ronda%20de%20Sant%20Antoni%2041%2C%20Barcelona%2C%2008011%2C%20Spain
Barcelona,Amar Barcelona,Selected,Contemporary,Restaurant,145,https://www.google.com/maps/search/?api=1&query=Amar%20Barcelona%2C%20Gran%20Via%20de%20les%20Corts%20Catalanes%20668%2C%20Barcelona%2C%2008010%2C%20Spain
Barcelona,AÜC,Selected,Regional Cuisine,Bar,35,https://www.google.com/maps/search/?api=1&query=A%C3%9CC%2C%20Pla%C3%A7a%20del%20Camp%207%2C%20Barcelona%2C%2008022%2C%20Spain
Barcelona,AÜRT,,,Fine dining restaurant,145,https://www.google.com/maps/search/?api=1&query=A%C3%9CRT%2C%20Passeig%20del%20Taulat%20262-264%2C%20Barcelona%2C%2008019%2C%20Spain
Barcelona,Avenir,Bib Gourmand,Contemporary,Restaurant,35,https://www.google.com/maps/search/?api=1&query=Avenir%2C%20Carrer%20de%20l%27Avenir%2072%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Bacaro,Bib Gourmand,Italian,Italian restaurant,35,https://www.google.com/maps/search/?api=1&query=Bacaro%2C%20Jerusalem%206%2C%20Barcelona%2C%2008001%2C%20Spain
Barcelona,Bardeni-Caldeni,Bib Gourmand,Meats and Grills,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Bardeni-Caldeni%2C%20Valencia%20454%2C%20Barcelona%2C%2008013%2C%20Spain
Barcelona,Batea,Selected,Seafood,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Batea%2C%20Gran%20Via%20de%20Les%20Corts%20Catalanes%20605%2C%20Barcelona%2C%2008007%2C%20Spain
Barcelona,Berbena,Bib Gourmand,Creative,Restaurant,50,https://www.google.com/maps/search/?api=1&query=Berbena%2C%20Minerva%206%2C%20Barcelona%2C%2008006%2C%20Spain
Barcelona,Besta,Selected,Farm to table,Restaurant,78,https://www.google.com/maps/search/?api=1&query=Besta%2C%20Aribau%20106%2C%20Barcelona%2C%2008036%2C%20Spain
Barcelona,Brabo,,,Restaurant,105,https://www.google.com/maps/search/?api=1&query=Brabo%2C%20Carrer%20de%20S%C3%A8neca%2028%2C%20Barcelona%2C%2008006%2C%20Spain
